query,intent,brand,model,year,sensor
pull Control Network hixtory for 7X,imperative_commands,Zeekr,7X,2024,Control Network
when stop tyre pressure for zeekr,temporal_stats,Zeekr,007,2025,Tyre Pressure
pull Hood sensor history for S90,imperative_commands,Volvo,S90,2023,Hood sensor
get me adas camera stats for eletre,imperative_commands,Lotus,Eletre,2024,ADAS Camera
how NVH works in V60 Recharge?,data_definition,Volvo,V60 Recharge,2023,NVH
peak values boot latch sensor 01 last week,statistical_query,Lynk & Co,01,2025,Boot latch sensor
is Vision system still being recorded for 7X?,temporal_stats,Zeekr,7X,2024,Vision system
tell me more about Tyre Pressure context,contextual_followups,Volvo,XC90,2019,Tyre Pressure
show Boot latch sensor owner now,imperative_commands,Geely Auto,Geometry E,2022,Boot latch sensor
check Zeekr High Voltage battery database health,system_status_check,Zeekr,001,2022,High Voltage battery
is Traction battery still being recorded for 07?,temporal_stats,Jiyue,07,2025,Traction battery
outlier reason for Vision system logs,anomaly_info,Lotus,Emeya,2024,Vision system
compare Noise and Vibration between Emira and 03 TCR,comparative_analysis,Lotus,Emira,2024,Noise and Vibration
most freq Lidar value,statistical_query,Lotus,Eletre,2024,Lidar
pull CAN-FD history for Coolray,imperative_commands,Geely Auto,Coolray,2019,CAN-FD
avg value for boot latch sensor 08 em-p,statistical_query,Lynk & Co,08 EM-P,2023,Boot latch sensor
same info but for Zeekr 7X,contextual_followups,Zeekr,7X,2024,Traction battery
why we use csv for lidar,data_definition,Lynk & Co,09 Ultra,2025,Lidar
peak values Hood sensor 03 TCR last week,statistical_query,Lynk & Co,03 TCR,2024,Hood sensor
who updated LIDAR database last?,access_governance,Jiyue,01,2023,LIDAR
definition of Traction battery telemetry Lotus,data_definition,Lotus,Emeya,2025,Traction battery
os NVH real-time or offline?,collection_method,Lotus,Eletre,2025,NVH
pull Tire Pressure history for V60 Recharge,imperative_commands,Volvo,V60 Recharge,2022,Tire Pressure
is Bonnet sensor more accurate in Z10 or 08 EM-P?,comparative_analysis,Lynk & Co,Z10,2024,Bonnet sensor
Who has access to ADAS Camera logs for Lynk & Co?,access_governance,Lynk & Co,09 Ultra,2025,ADAS Camera
show Lynk & Co Autonomous sensor owner now,imperative_commands,Lynk & Co,08 EM-P,2024,Autonomous sensor
what is LiDAR for Lynk & Co?,data_definition,Lynk & Co,03 TCR,2022,LiDAR
status of Noise and Vibration collection in Volvo,system_status_check,Volvo,S90,2023,Noise and Vibration
is boot latch sensor real-time or offline,collection_method,Volvo,XC90,2023,Boot latch sensor
can-fd performance lynk & co vs lynk & co,comparative_analysis,Lynk & Co,09 Ultra,2024,CAN-FD
what about LiDAR on the Polestar 2?,contextual_followups,Polestar,Polestar 2,2023,LiDAR
bad data points in HV battery Polestar 4,anomaly_info,Polestar,Polestar 4,2025,HV battery
show Lotus Control Network owner now,imperative_commands,Lotus,Emira,2023,Control Network
any issues with Boot latch sensor logs today?,system_status_check,Polestar,Polestar 5,2026,Boot latch sensor
tell me more about Control Network context,contextual_followups,Volvo,V60 Recharge,2023,Control Network
Show me outliers for Bonnet sensor in EM90,anomaly_info,Volvo,EM90,2025,Bonnet sensor
Tire Pressure performance vs Lynk & Co,comparative_analysis,Lynk & Co,Z10,2024,Tire Pressure
frequency of CANBUS errors Volvo,anomaly_info,Volvo,EM90,2025,CANBUS
show HV battery owner now,imperative_commands,Polestar,Polestar 3,2024,HV battery
how is Control Network data gathered for Lynk & Co?,collection_method,Lynk & Co,03 TCR,2022,Control Network
since when Noise and Vibration collected Geely Auto?,temporal_stats,Geely Auto,Geometry E,2025,Noise and Vibration
identify Vision system anomalies Volvo,anomaly_info,Volvo,EM90,2025,Vision system
roof rig needed for Control Network?,collection_method,Zeekr,7X,2024,Control Network
is LIDAR data stream broken for Starray?,system_status_check,Geely Auto,Starray,2024,LIDAR
what about HV battery on the 7X?,contextual_followups,Zeekr,7X,2025,HV battery
show Autonomous sensor owner now,imperative_commands,Zeekr,007,2025,Autonomous sensor
is Boot latch sensor data stream broken for Z10?,system_status_check,Lynk & Co,Z10,2024,Boot latch sensor
roof rig needed for Bonnet sensor?,collection_method,Polestar,Polestar 2,2024,Bonnet sensor
contact for 07 Vision system access,access_governance,Jiyue,07,2025,Vision system
why Tire Pressure data jump so much?,anomaly_info,Zeekr,001,2025,Tire Pressure
any issues with CAN-FD logs today?,system_status_check,Jiyue,01,2025,CAN-FD
CANBUS performance vs Zeekr,comparative_analysis,Zeekr,X,2024,CANBUS
pull Noise and Vibration history for X,imperative_commands,Zeekr,X,2025,Noise and Vibration
show Jiyue Control Network owner now,imperative_commands,Jiyue,07,2025,Control Network
is 01 CAN-FD streaming?,collection_method,Jiyue,01,2024,CAN-FD
tell me more about Bonnet sensor context,contextual_followups,Lotus,Eletre,2023,Bonnet sensor
productoon vehicle logs for Geely Auto Traction battery?,collection_method,Geely Auto,Coolray,2018,Traction battery
is Trunk sensor data stream broken for Polestar 3?,system_status_check,Polestar,Polestar 3,2024,Trunk sensor
production vehicle logs for Jiyue Control Network?,collection_method,Jiyue,01,2023,Control Network
bad data points in Autonomous sensor Emigrant,anomaly_info,Geely Auto,Emigrant,2025,Autonomous sensor
pull LiDAR history for 01,imperative_commands,Jiyue,01,2025,LiDAR
is Autonomous sensor more accurate in Panda Mini or 01?,comparative_analysis,Geely Auto,Panda Mini,2023,Autonomous sensor
Show me outliers for CANBUS in 05,anomaly_info,Lynk & Co,05,2022,CANBUS
frequency of TPMS errors Jiyue,anomaly_info,Jiyue,07,2024,TPMS
what is highest/lowest Autonomous sensor?,statistical_query,Polestar,Polestar 2,2021,Autonomous sensor
why stop? (Control Network),contextual_followups,Geely Auto,Galaxy L7,2023,Control Network
contact for Polestar 3 CANBUS access,access_governance,Polestar,Polestar 3,2025,CANBUS
why Bonnet sensor collection discontinued EX90?,temporal_stats,Volvo,EX90,2026,Bonnet sensor
difference in High Voltage battery data for Volvo vs Volvo,comparative_analysis,Volvo,EX30,2024,High Voltage battery
Who has access to CAN-FD logs for Lynk & Co?,access_governance,Lynk & Co,03 TCR,2023,CAN-FD
Who has access to Autonomous sensor logs for Volvo?,access_governance,Volvo,EX90,2026,Autonomous sensor
difference in Noise and Vibration data for Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,Z10,2024,Noise and Vibration
who updated Tyre Pressure database last?,access_governance,Polestar,Polestar 3,2025,Tyre Pressure
permission for polestar 5 hood sensor data,access_governance,Polestar,Polestar 5,2025,Hood sensor
show Jiyue Boot latch sensor owner now,imperative_commands,Jiyue,07,2025,Boot latch sensor
what about LIDAR on the EX90?,contextual_followups,Volvo,EX90,2026,LIDAR
why nvh collection discontinued panda mini,temporal_stats,Geely Auto,Panda Mini,2023,NVH
get me Tyre Pressure stats for XC90,imperative_commands,Volvo,XC90,2019,Tyre Pressure
compqre Control Network between S90 and 01,comparative_analysis,Volvo,S90,2025,Control Network
last update time for Lidar,temporal_stats,Jiyue,07,2025,Lidar
peak values Acoustics Evija last week,statistical_query,Lotus,Evija,2023,Acoustics
frequency of CANBUS errors Lynk & Co,anomaly_info,Lynk & Co,05,2025,CANBUS
erratic High Voltage battery data in XC60,anomaly_info,Volvo,XC60,2023,High Voltage battery
trll me more about Tire Pressure context,contextual_followups,Zeekr,001,2021,Tire Pressure
tell me more about NVH context,contextual_followups,Lotus,Emira,2023,NVH
compare canbus between coolray and emigrant,comparative_analysis,Geely Auto,Coolray,2018,CANBUS
last update time for Acoustics,temporal_stats,Jiyue,01,2023,Acoustics
difference in Autonomous sensor data for Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,01,2022,Autonomous sensor
check Volvo Autonomous sensor database health,system_status_check,Volvo,EX30,2025,Autonomous sensor
avg value for NVH Evija,statistical_query,Lotus,Evija,2022,NVH
definition of Traction battery telemetry Volvo,data_definition,Volvo,XC60,2019,Traction battery
compare canbus between 09 ultra and evija,comparative_analysis,Lynk & Co,09 Ultra,2021,CANBUS
why stop? (Bonnet sensor),contextual_followups,Geely Auto,Galaxy L7,2025,Bonnet sensor
why stop? (Hood sensor),contextual_followups,Lynk & Co,Z10,2024,Hood sensor
what about trunk sensor on the x,contextual_followups,Zeekr,X,2023,Trunk sensor
outlier reason for ADAS Camera logs,anomaly_info,Jiyue,07,2025,ADAS Camera
compare autonomous sensor between ex30 and xc90,comparative_analysis,Volvo,EX30,2025,Autonomous sensor
get me Acoustics stats for EM90,imperative_commands,Volvo,EM90,2025,Acoustics
what about Tire Pressure on the Polestar 4?,contextual_followups,Polestar,Polestar 4,2025,Tire Pressure
stqtus of Tire Pressure collection in Lynk & Co,system_status_check,Lynk & Co,Z10,2025,Tire Pressure
pull noise and vibration history for panda mini,imperative_commands,Geely Auto,Panda Mini,2024,Noise and Vibration
pull Bonnet sensor history for 4,imperative_commands,Polestar,Polestar 4,2025,Bonnet sensor
identify Acoustics anomalies Volvo,anomaly_info,Volvo,XC90,2017,Acoustics
avg value for Boot latch sensor 01,statistical_query,Jiyue,01,2025,Boot latch sensor
avg value for Tire Pressure 01,statistical_query,Jiyue,01,2025,Tire Pressure
tell me more about Trunk sensor context,contextual_followups,Polestar,Polestar 5,2025,Trunk sensor
check Jiyue Autonomous sensor database health,system_status_check,Jiyue,01,2025,Autonomous sensor
is 7X NVH streaming?,collection_method,Zeekr,7X,2024,NVH
average reading of Hood sensor Panda Mini,statistical_query,Geely Auto,Panda Mini,2023,Hood sensor
Boot latch srnsor performance Jiyue vs Polestar,comparative_analysis,Jiyue,07,2024,Boot latch sensor
start date for Tire Pressure logs Eletre,temporal_stats,Lotus,Eletre,2023,Tire Pressure
difference in CANBUS data for Jiyue vs Zeekr,comparative_analysis,Jiyue,01,2024,CANBUS
what about traction battery on the 09 ultra,contextual_followups,Lynk & Co,09 Ultra,2021,Traction battery
show Geely Auto Tire Pressure owner now,imperative_commands,Geely Auto,Coolray,2023,Tire Pressure
hood sensor description zeekr 7x,data_definition,Zeekr,7X,2024,Hood sensor
first time Traction battery was used in Lotus?,temporal_stats,Lotus,Eletre,2024,Traction battery
why we use MDF4 for HV battery?,data_definition,Zeekr,X,2024,HV battery
what about lidar on the mix,contextual_followups,Zeekr,Mix,2025,Lidar
request access to Polestar 4 HV battery,access_governance,Polestar,Polestar 4,2024,HV battery
production vehicle logs for lynk & co hood sensor,collection_method,Lynk & Co,Z10,2024,Hood sensor
responsible person for tpms volvo,access_governance,Volvo,XC90,2020,TPMS
Tirr Pressure description Lynk & Co 09 Ultra,data_definition,Lynk & Co,09 Ultra,2023,Tire Pressure
Tire Pressure glitching on Emigrant?,anomaly_info,Geely Auto,Emigrant,2021,Tire Pressure
what about tpms on the em90,contextual_followups,Volvo,EM90,2024,TPMS
how long wr have HV battery data for 7X?,temporal_stats,Zeekr,7X,2025,HV battery
chrck Geely Auto Traction battery database health,system_status_check,Geely Auto,Panda Mini,2025,Traction battery
first time tpms was used in volvo,temporal_stats,Volvo,EX30,2023,TPMS
pull LIDAR history for Starray,imperative_commands,Geely Auto,Starray,2025,LIDAR
show Lotus High Voltage battery owner now,imperative_commands,Lotus,Eletre,2024,High Voltage battery
show Zeekr TPMS owner now,imperative_commands,Zeekr,009,2022,TPMS
same info but for Lotus Evija,contextual_followups,Lotus,Evija,2025,Control Network
any issues with canbus logs today,system_status_check,Polestar,Polestar 3,2025,CANBUS
get me CAN-FD stats for Emira,imperative_commands,Lotus,Emira,2022,CAN-FD
most freq High Voltage battery value,statistical_query,Jiyue,07,2025,High Voltage battery
common range for HV battery in Lotus,statistical_query,Lotus,Emira,2025,HV battery
why we use hdf5 for bonnet sensor,data_definition,Volvo,V60 Recharge,2023,Bonnet sensor
Autonomous sensor glitching on 01?,anomaly_info,Jiyue,01,2025,Autonomous sensor
difference in HV battery data for vs Jiyue,comparative_analysis,Jiyue,01,2023,HV battery
why stop? (Tyre Pressure),contextual_followups,Polestar,Polestar 5,2025,Tyre Pressure
what is high voltage battery for jiyue,data_definition,Jiyue,07,2025,High Voltage battery
find outliers in Hood sensor dataset,imperative_commands,Zeekr,001,2022,Hood sensor
identify can-fd anomalies lotus,anomaly_info,Lotus,Emeya,2025,CAN-FD
who updated NVH database last?,access_governance,Geely Auto,Geometry E,2022,NVH
what about Lidar on the 007?,contextual_followups,Zeekr,007,2025,Lidar
definition of Autonomous sensor telemetry Jiyue,data_definition,Jiyue,07,2024,Autonomous sensor
is Tyre Pressure data stream broken for 007?,system_status_check,Zeekr,007,2025,Tyre Pressure
show Lotus ADAS Camera owner now,imperative_commands,Lotus,Emeya,2024,ADAS Camera
why NVH spikes in Zeekr?,anomaly_info,Zeekr,007,2023,NVH
is Acoustics data stream broken for 001?,system_status_check,Zeekr,001,2024,Acoustics
is Acoustics data stream broken for 03 TCR?,system_status_check,Lynk & Co,03 TCR,2023,Acoustics
to whom i speak for NVH access?,access_governance,Polestar,Polestar 2,2023,NVH
is LIDAR real-time or offline?,collection_method,Zeekr,X,2024,LIDAR
how is Bonnet sensor dqta gathered for Polestar?,collection_method,Polestar,Polestar 4,2024,Bonnet sensor
Polestar 5 LIDAR data type?,data_definition,Polestar,Polestar 5,2026,LIDAR
production vehicle logs for Polestar Traction battery?,collection_method,Polestar,Polestar 3,2024,Traction battery
pull CAN-FD history for 07,imperative_commands,Jiyue,07,2025,CAN-FD
erratic Hood sensor data in XC90,anomaly_info,Volvo,XC90,2020,Hood sensor
Trqction battery performance Zeekr vs Zeekr,comparative_analysis,Zeekr,001,2021,Traction battery
Vision system history Lynk & Co,temporal_stats,Lynk & Co,08 EM-P,2024,Vision system
When did we start collecting TPMS for 01?,temporal_stats,Jiyue,01,2024,TPMS
what is highest/lowest TPMS?,statistical_query,Lynk & Co,08 EM-P,2024,TPMS
how is Hood sensor data gathered for Polestar?,collection_method,Polestar,Polestar 3,2025,Hood sensor
Who has access to HV battery logs for Polestar?,access_governance,Polestar,Polestar 2,2022,HV battery
What types of TPMS data are available for Jiyue 01?,data_definition,Jiyue,01,2024,TPMS
frequency of Noise and Vibration errors Lotus,anomaly_info,Lotus,Eletre,2024,Noise and Vibration
is Tire Pressure data stream broken for 01?,system_status_check,Jiyue,01,2024,Tire Pressure
NVH description Lotus Emira,data_definition,Lotus,Emira,2025,NVH
avg value for Acoustics Geometry E,statistical_query,Geely Auto,Geometry E,2025,Acoustics
is Traction battery more accurate in 07 or 001?,comparative_analysis,Jiyue,07,2025,Traction battery
status of High Voltage battery collection in Polestar,system_status_check,Polestar,Polestar 3,2023,High Voltage battery
why we use MDF4 for NVH?,data_definition,Jiyue,07,2024,NVH
difference in Traction battery data for Geely Auto vs Volvo,comparative_analysis,Geely Auto,Galaxy L7,2024,Traction battery
xpecial attachments for Emeya Noise and Vibration?,collection_method,Lotus,Emeya,2024,Noise and Vibration
what Tire Pressure means for car 05?,data_definition,Lynk & Co,05,2025,Tire Pressure
common range for High Voltage battery in Jiyue,statistical_query,Jiyue,01,2024,High Voltage battery
how is Vision system data gathered for Zeekr?,collection_method,Zeekr,7X,2024,Vision system
Boot latch sensor history Polestar,temporal_stats,Polestar,Polestar 4,2025,Boot latch sensor
is Traction battery more accurate in 01 or EX90?,comparative_analysis,Jiyue,01,2023,Traction battery
frequency of High Voltage battery errors Volvo,anomaly_info,Volvo,XC90,2015,High Voltage battery
whqt CANBUS means for car Eletre?,data_definition,Lotus,Eletre,2024,CANBUS
pull canbus history for 009,imperative_commands,Zeekr,009,2024,CANBUS
erratic CANBUS data in Emeya,anomaly_info,Lotus,Emeya,2025,CANBUS
frequency of High Voltage battery errors Lynk & Co,anomaly_info,Lynk & Co,01,2022,High Voltage battery
Who has access to Tire Pressure logs for Geely Auto?,access_governance,Geely Auto,Galaxy L7,2025,Tire Pressure
roof rig needed for LiDAR?,collection_method,Zeekr,7X,2025,LiDAR
compare Noise and Vibration between Emeya and Emigrant,comparative_analysis,Lotus,Emeya,2024,Noise and Vibration
erratic Control Network data in Z10,anomaly_info,Lynk & Co,Z10,2025,Control Network
get me Control Network stats for 03 TCR,imperative_commands,Lynk & Co,03 TCR,2024,Control Network
mean Acoustics across Jiyue fleet,statistical_query,Jiyue,07,2025,Acoustics
what about Tire Pressure on the Starray?,contextual_followups,Geely Auto,Starray,2024,Tire Pressure
is tyre pressure data live for em90,collection_method,Volvo,EM90,2024,Tyre Pressure
give me HV battery max min 08 EM-P,statistical_query,Lynk & Co,08 EM-P,2025,HV battery
Tire Pressure glitching on 7X?,anomaly_info,Zeekr,7X,2025,Tire Pressure
get me nvh stats for 07,imperative_commands,Jiyue,07,2024,NVH
check Volvo Trunk sensor database health,system_status_check,Volvo,XC90,2017,Trunk sensor
mean Autonomous sensor across fleet,statistical_query,Polestar,Polestar 2,2025,Autonomous sensor
whrn stop LiDAR for Jiyue?,temporal_stats,Jiyue,01,2024,LiDAR
ADAS Camera description Lynk & Co 08 EM-P,data_definition,Lynk & Co,08 EM-P,2025,ADAS Camera
check Hood sensor database health,system_status_check,Lynk & Co,01,2018,Hood sensor
explain ADAS Camera context in Emira,data_definition,Lotus,Emira,2025,ADAS Camera
give me LIDAR max min EX30,statistical_query,Volvo,EX30,2023,LIDAR
how long we have LiDAR data for XC60?,temporal_stats,Volvo,XC60,2021,LiDAR
is Trunk sensor more accurate in Polestar 3 or Coolray?,comparative_analysis,Polestar,Polestar 3,2024,Trunk sensor
most freq Bonnet sensor value,statistical_query,Geely Auto,Panda Mini,2025,Bonnet sensor
contact for Starray LiDAR access,access_governance,Geely Auto,Starray,2023,LiDAR
start date for control network logs geometry e,temporal_stats,Geely Auto,Geometry E,2022,Control Network
what is CAN-FD for Volvo?,data_definition,Volvo,V60 Recharge,2022,CAN-FD
check Lynk & Co Tire Pressure database health,system_status_check,Lynk & Co,08 EM-P,2023,Tire Pressure
who owns the boot latch sensor dataset,access_governance,Geely Auto,Starray,2023,Boot latch sensor
why stop? (Tire Pressure),contextual_followups,Volvo,XC90,2021,Tire Pressure
to whom i speak for High Voltage battery access?,access_governance,Lynk & Co,Z10,2024,High Voltage battery
for 03 tcr what nvh info exists,data_definition,Lynk & Co,03 TCR,2022,NVH
first time hood sensor was used in polestar,temporal_stats,Polestar,Polestar 3,2023,Hood sensor
compare Autonomous sensor between Panda Mini and Starray,comparative_analysis,Geely Auto,Panda Mini,2025,Autonomous sensor
compare traction battery between emira and eletre,comparative_analysis,Lotus,Emira,2022,Traction battery
why Control Network spikes in Volvo?,anomaly_info,Volvo,EM90,2024,Control Network
Is Acoustics data live for Polestar 4?,collection_method,Polestar,Polestar 4,2025,Acoustics
how ADAS Camera works in Volvo S90?,data_definition,Volvo,S90,2018,ADAS Camera
start date for LiDAR logs S90,temporal_stats,Volvo,S90,2017,LiDAR
permission for 05 HV battery data,access_governance,Lynk & Co,05,2023,HV battery
tell me more about Hood sensor context,contextual_followups,Lotus,Eletre,2025,Hood sensor
must use Micro-epsilon for Polestar data?,collection_method,Polestar,Polestar 4,2025,Acoustics
What are the peaks of Vision system in Jiyue 07?,statistical_query,Jiyue,07,2025,Vision system
special attachments for xc90 vision system,collection_method,Volvo,XC90,2015,Vision system
is XC60 High Voltage battery streaming?,collection_method,Volvo,XC60,2019,High Voltage battery
why stop (lidar),contextual_followups,Zeekr,009,2023,LIDAR
identify Tyre Pressure anomalies Lotus,anomaly_info,Lotus,Evija,2020,Tyre Pressure
is Boot latch sensor data stream broken for 007?,system_status_check,Zeekr,007,2025,Boot latch sensor
HV battery performance Lotus vs Lotus,comparative_analysis,Lotus,Evija,2024,HV battery
get me NVH stats for S90,imperative_commands,Volvo,S90,2023,NVH
same info but for Volvo V60 Recharge,contextual_followups,Volvo,V60 Recharge,2024,Vision system
why Acoustics collection discontinued Galaxy L7?,temporal_stats,Geely Auto,Galaxy L7,2025,Acoustics
What types of High Voltage battery data are available for Lotus Emeya?,data_definition,Lotus,Emeya,2025,High Voltage battery
how is CANBUS data gathered for Volvo?,collection_method,Volvo,EX30,2024,CANBUS
erratic CAN-FD data in Emeya,anomaly_info,Lotus,Emeya,2024,CAN-FD
why we use Parquet for LIDAR?,data_definition,Polestar,Polestar 5,2026,LIDAR
trll me more about LIDAR context,contextual_followups,Geely Auto,Coolray,2021,LIDAR
frequency of Lidar errors Geely Auto,anomaly_info,Geely Auto,Coolray,2024,Lidar
When did we start collecting Vision system for 01?,temporal_stats,Jiyue,01,2024,Vision system
pull High Voltage battery history for Geometry E,imperative_commands,Geely Auto,Geometry E,2025,High Voltage battery
most freq ADAS Camera value,statistical_query,Volvo,EM90,2025,ADAS Camera
same info but for Zeekr X,contextual_followups,Zeekr,X,2025,Hood sensor
is Starray Traction battery streaming?,collection_method,Geely Auto,Starray,2024,Traction battery
difference in noise and vibration data for geely auto vs geely auto,comparative_analysis,Geely Auto,Panda Mini,2025,Noise and Vibration
os LiDAR more accurate in Coolray or Evija?,comparative_analysis,Geely Auto,Coolray,2025,LiDAR
common range for ADAS Camera in Zeekr,statistical_query,Zeekr,009,2023,ADAS Camera
must use data logger unit for geely auto data,collection_method,Geely Auto,Geometry E,2022,Autonomous sensor
is CAN-FD more accurate in 7X or 007?,comparative_analysis,Zeekr,7X,2024,CAN-FD
when stop CANBUS for Zeekr?,temporal_stats,Zeekr,7X,2025,CANBUS
bad data points in HV battery X,anomaly_info,Zeekr,X,2024,HV battery
check Volvo Lidar database health,system_status_check,Volvo,EX90,2026,Lidar
is Acoustics more accurate in Coolray or Coolray?,comparative_analysis,Geely Auto,Coolray,2024,Acoustics
collected after release for 7x,collection_method,Zeekr,7X,2025,Boot latch sensor
why ADAS Camrra spikes in Lynk & Co?,anomaly_info,Lynk & Co,08 EM-P,2025,ADAS Camera
to whom i speak for Control Network access?,access_governance,Zeekr,001,2025,Control Network
is Autonomous sensor more accurate in XC90 or EX90?,comparative_analysis,Volvo,XC90,2020,Autonomous sensor
abnormal Control Network readings X,anomaly_info,Zeekr,X,2024,Control Network
get me Tire Pressure stats for EX30,imperative_commands,Volvo,EX30,2024,Tire Pressure
comparr Acoustics between 07 and 07,comparative_analysis,Jiyue,07,2024,Acoustics
how HV battery works in Jiyue 01?,data_definition,Jiyue,01,2025,HV battery
bad data points in NVH Mix,anomaly_info,Zeekr,Mix,2025,NVH
must use Oxford RT3000 for Polestar data?,collection_method,Polestar,Polestar 5,2025,CANBUS
check Geely Auto Lidar database health,system_status_check,Geely Auto,Emigrant,2021,Lidar
what CANBUS means for car Mix?,data_definition,Zeekr,Mix,2024,CANBUS
why CAN-FD data jump so much?,anomaly_info,Zeekr,001,2022,CAN-FD
find outliers in Acoustics dataset,imperative_commands,Lynk & Co,09 Ultra,2021,Acoustics
what are the peaks of hv battery in jiyue 01,statistical_query,Jiyue,01,2024,HV battery
same info but for Polestar Polestar 3,contextual_followups,Polestar,Polestar 3,2023,Autonomous sensor
avg value for Noise and Vibration XC60,statistical_query,Volvo,XC60,2021,Noise and Vibration
roof rig needed for lidar,collection_method,Geely Auto,Panda Mini,2025,LIDAR
why LIDAR collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2024,LIDAR
start date for Lidar logs Polestar 5,temporal_stats,Polestar,Polestar 5,2026,Lidar
difference in lidar data for polestar vs polestar,comparative_analysis,Polestar,Polestar 2,2021,LIDAR
compare High Voltage battery between 01 and 07,comparative_analysis,Jiyue,01,2025,High Voltage battery
status of Acoustics collection in Polestar,system_status_check,Polestar,Polestar 5,2025,Acoustics
Traction battery performance Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2025,Traction battery
is Boot latch sensor data stream broken for 03 TCR?,system_status_check,Lynk & Co,03 TCR,2023,Boot latch sensor
responsible person for Bonnet sensor Polestar,access_governance,Polestar,Polestar 3,2025,Bonnet sensor
why Tyre Pressure data jump so much?,anomaly_info,Lotus,Evija,2020,Tyre Pressure
request access to Polestar 2 TPMS,access_governance,Polestar,Polestar 2,2020,TPMS
what about Autonomoux sensor on the 05?,contextual_followups,Lynk & Co,05,2021,Autonomous sensor
start date for Tyre Pressure logs XC90,temporal_stats,Volvo,XC90,2025,Tyre Pressure
difference in Tire Pressure data for Lotus vs Lotus,comparative_analysis,Lotus,Emira,2024,Tire Pressure
check polestar bonnet sensor database health,system_status_check,Polestar,Polestar 5,2025,Bonnet sensor
same info but for Zeekr 009,contextual_followups,Zeekr,009,2022,Tire Pressure
is can-fd data stream broken for z10,system_status_check,Lynk & Co,Z10,2025,CAN-FD
mean NVH across fleet,statistical_query,Jiyue,07,2025,NVH
show Volvo HV battery owner now,imperative_commands,Volvo,S90,2017,HV battery
any issues with Autonomous sensor logs today?,system_status_check,Polestar,Polestar 4,2024,Autonomous sensor
show Geely Auto Trunk sensor owner now,imperative_commands,Geely Auto,Starray,2024,Trunk sensor
most freq lidar value,statistical_query,Jiyue,01,2025,LIDAR
give me ADAS Cqmera max min 01,statistical_query,Jiyue,01,2025,ADAS Camera
start date for CAN-FD logs Polestar 5,temporal_stats,Polestar,Polestar 5,2026,CAN-FD
check Polestar NVH database health,system_status_check,Polestar,Polestar 5,2026,NVH
why High Voltage battery spikes in Lynk & Co?,anomaly_info,Lynk & Co,05,2021,High Voltage battery
roof rig needed for Acoustics?,collection_method,Geely Auto,Geometry E,2023,Acoustics
tell me more about Boot latch sensor context,contextual_followups,Lynk & Co,09 Ultra,2021,Boot latch sensor
why Traction battery collection discontinued Emira?,temporal_stats,Lotus,Emira,2024,Traction battery
